Games,Cópias vendidas,Hours Played,Número de jogadores,_merge,Popularidade,Temp Med,Jogadores por cópias,index,slug,isMultiplayer
Arma 3 Marksmen,7,0.0,0.0,left_only,0.0364830353885443,,0.0,167,arma-3-marksmen--1,1.0
Arma 3 Zeus,25,0.0,0.0,left_only,0.1302965549590868,,0.0,168,arma-3-zeus,0.0
Arma Cold War Assault,11,0.5,2.0,both,0.0573304841819982,0.25,0.1818181818181818,169,arma-cold-war-assault,1.0
ArtRage Studio Pro,1,9.3,1.0,both,0.0052118621983634,9.3,1.0,Soundrack/Skin/Bonus,0,
Artemis Spaceship Bridge Simulator,1,1.8,1.0,both,0.0052118621983634,1.8,1.0,171,artemis-spaceship-bridge-simulator,0.0
Ascend Hand of Kul,4,4.9,1.0,both,0.0208474487934539,4.9,0.25,172,ascend-hand-of-kul,0.0
Assassin's Creed,8,75.5,6.0,both,0.0416948975869078,12.583333333333334,0.75,173,assassin-s-creed,0.0
Assassin's Creed Brotherhood,12,191.7,8.0,both,0.0625423463803617,23.9625,0.6666666666666666,174,assassins-creed-brotherhood--1,0.0
Assassin's Creed Freedom Cry,2,0.0,0.0,left_only,0.0104237243967269,,0.0,Soundrack/Skin/Bonus,0,
Assassin's Creed II,17,322.0,13.0,both,0.088601657372179,24.76923076923077,0.7647058823529411,176,assassins-creed-ii,0.0
Assassin's Creed III,10,388.2,8.0,both,0.0521186219836347,48.525,0.8,177,assassin-s-creed-iii,0.0
Assassin's Creed IV Black Flag,9,537.6,8.0,both,0.0469067597852712,67.2,0.8888888888888888,178,assassins-creed-iv-black-flag,1.0
Assassin's Creed Liberation,1,0.0,0.0,left_only,0.0052118621983634,,0.0,179,assassin-s-creed-iii-liberation,0.0
Assassin's Creed Revelations,10,49.8,4.0,both,0.0521186219836347,12.45,0.4,180,assassins-creed-revelations,0.0
Assassin's Creed Syndicate,1,16.4,1.0,both,0.0052118621983634,16.4,1.0,181,assassins-creed-syndicate,0.0
Assassins Creed Chronicles China,3,6.6,1.0,both,0.0156355865950904,6.6,0.3333333333333333,182,assassins-creed-chronicles-china--1,0.0
Assassins Creed Unity,5,28.1,4.0,both,0.0260593109918173,7.025,0.8,183,assassins-creed-unity,0.0
Assetto Corsa,2,53.9,2.0,both,0.0104237243967269,26.95,1.0,184,assetto-corsa,0.0
Astebreed,2,0.8,2.0,both,0.0104237243967269,0.4,1.0,185,astebreed,1.0
Asteroids Outpost,1,0.3,1.0,both,0.0052118621983634,0.3,1.0,186,asteroids-outpost,0.0
AstroPop Deluxe,1,0.0,0.0,left_only,0.0052118621983634,,0.0,187,astropop-deluxe,0.0
Atlantica Online,2,0.0,0.0,left_only,0.0104237243967269,,0.0,188,atlantica-online,1.0
Atom Zombie Smasher ,5,14.7,5.0,both,0.0260593109918173,2.94,1.0,189,atom-zombie-smasher,0.0
Audiosurf,15,143.1,10.0,both,0.0781779329754521,14.31,0.6666666666666666,190,audiosurf,0.0
Audiosurf 2,1,1.7,1.0,both,0.0052118621983634,1.7,1.0,191,audiosurf-2,0.0
Audition Online,4,8.2,1.0,both,0.0208474487934539,8.2,0.25,192,audition-online--1,0.0
Aura Fate of the Ages,1,8.4,1.0,both,0.0052118621983634,8.4,1.0,193,aura-fate-of-the-ages,0.0
Aura Kingdom,15,37.8,4.0,both,0.0781779329754521,9.45,0.2666666666666666,194,aura-kingdom,1.0
Autobahn Police Simulator,1,0.8,1.0,both,0.0052118621983634,0.8,1.0,195,autobahn-police-simulator,0.0
Avadon 2 The Corruption,1,0.0,0.0,left_only,0.0052118621983634,,0.0,196,avadon-2-the-corruption,0.0
Avadon The Black Fortress,1,0.1,1.0,both,0.0052118621983634,0.1,1.0,197,avadon-the-black-fortress,0.0
Avencast,2,0.0,0.0,left_only,0.0104237243967269,,0.0,198,avencast-rise-of-the-mage,0.0
Aveyond 3-1 Lord of Twilight,1,0.0,0.0,left_only,0.0052118621983634,,0.0,199,aveyond-3-1-lord-of-twilight,0.0
Awesomenauts,16,88.39999999999999,12.0,both,0.0833897951738156,7.366666666666666,0.75,200,awesomenauts,1.0
Axiom Verge,1,14.6,1.0,both,0.0052118621983634,14.6,1.0,201,axiom-verge,0.0
Axis Game Factory's AGFPRO - Drone Kombat FPS Multi-Player DLC,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Axis Game Factory's AGFPRO - Zombie Survival Pack DLC,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Axis Game Factory's AGFPRO 3.0,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
BEEP,4,4.2,1.0,both,0.0208474487934539,4.2,0.25,205,beep,0.0
BIT.TRIP BEAT,2,2.5,2.0,both,0.0104237243967269,1.25,1.0,206,bit-dot-trip-beat,0.0
BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,5,2.0,3.0,both,0.0260593109918173,0.6666666666666666,0.6,207,runner2-future-legend-of-rhythm-alien,0.0
BIT.TRIP RUNNER,12,20.8,8.0,both,0.0625423463803617,2.6,0.6666666666666666,208,bit-trip-runner,0.0
BLOCKADE 3D,32,116.8,20.0,both,0.1667795903476312,5.84,0.625,209,blockade-3d,1.0
BRINK,8,3.9,4.0,both,0.0416948975869078,0.975,0.5,210,brink,1.0
Back to Bed,1,0.0,0.0,left_only,0.0052118621983634,,0.0,211,back-to-bed--1,0.0
Back to Dinosaur Island ,4,0.0,0.0,left_only,0.0208474487934539,,0.0,212,back-to-dinosaur-island,0.0
Back to the Future Ep 1 - It's About Time,2,2.9,1.0,both,0.0104237243967269,2.9,0.5,213,back-to-the-future-the-game-episode-1-its-about-time,0.0
Back to the Future Ep 2 - Get Tannen!,2,3.6,1.0,both,0.0104237243967269,3.6,0.5,214,back-to-the-future-the-game-episode-2-get-tannen,0.0
Back to the Future Ep 3 - Citizen Brown,2,2.6,1.0,both,0.0104237243967269,2.6,0.5,215,back-to-the-future-the-game-episode-3-citizen-brown,0.0
Back to the Future Ep 4 - Double Visions,2,2.8,1.0,both,0.0104237243967269,2.8,0.5,216,back-to-the-future-the-game-episode-4-double-visions,0.0
Back to the Future Ep 5 - OUTATIME,2,3.4,1.0,both,0.0104237243967269,3.4,0.5,217,back-to-the-future-the-game-episode-5-outatime,0.0
Bad Rats,4,2.2,1.0,both,0.0208474487934539,2.2,0.25,218,bad-rats,0.0
Baldur's Gate Enhanced Edition,2,97.0,2.0,both,0.0104237243967269,48.5,1.0,219,baldur-s-gate-enhanced-edition,0.0
Baldur's Gate II Enhanced Edition,2,36.0,1.0,both,0.0104237243967269,36.0,0.5,Soundrack/Skin/Bonus,0,
Ballad of Solar,1,10.1,1.0,both,0.0052118621983634,10.1,1.0,221,ballad-of-solar,0.0
Ballpoint Universe Infinite,1,0.0,0.0,left_only,0.0052118621983634,,0.0,222,ballpoint-universe-infinite,1.0
Banished,15,316.8,15.0,both,0.0781779329754521,21.12,1.0,223,banished,0.0
Bardbarian,1,0.0,0.0,left_only,0.0052118621983634,,0.0,224,bardbarian,0.0
Bastion,28,185.4,24.0,both,0.1459321415541773,7.725,0.8571428571428571,225,bastion,0.0
Batla,5,1.4,2.0,both,0.0260593109918173,0.7,0.4,226,batla,1.0
Batman Arkham Asylum GOTY Edition,34,326.9,22.0,both,0.1772033147443581,14.859090909090908,0.6470588235294118,227,batman-arkham-asylum-game-of-the-year-edition,0.0
Batman Arkham City,5,91.9,5.0,both,0.0260593109918173,18.380000000000003,1.0,228,batman-arkham-city,0.0
Batman Arkham City GOTY,38,478.0,23.0,both,0.198050763537812,20.782608695652176,0.6052631578947368,229,batman-arkham-city-game-of-the-year-edition,0.0
Batman Arkham Knight,6,112.2,5.0,both,0.0312711731901808,22.44,0.8333333333333334,230,batman-arkham-knight,0.0
Batman Arkham Origins,28,319.4,18.0,both,0.1459321415541773,17.744444444444444,0.6428571428571429,231,batman-arkham-origins,1.0
Batman Arkham Origins -  Online Supply Drop 1,8,0.0,0.0,left_only,0.0416948975869078,,0.0,Soundrack/Skin/Bonus,0,
Batman Arkham Origins - Infinite Earths Skins Pack,9,0.0,0.0,left_only,0.0469067597852712,,0.0,Soundrack/Skin/Bonus,0,
Batman Arkham Origins - Initiation,9,0.0,0.0,left_only,0.0469067597852712,,0.0,Soundrack/Skin/Bonus,0,
Batman Arkham Origins - New Millennium Skins Pack,11,0.0,0.0,left_only,0.0573304841819982,,0.0,Soundrack/Skin/Bonus,0,
Batman Arkham Origins - Online Supply Drop 2,8,0.0,0.0,left_only,0.0416948975869078,,0.0,Soundrack/Skin/Bonus,0,
Batman Arkham Origins Blackgate - Deluxe Edition,6,0.1,1.0,both,0.0312711731901808,0.1,0.1666666666666666,237,batman-arkham-origins-blackgate-deluxe-edition,1.0
Battle Battalions,2,0.0,0.0,left_only,0.0104237243967269,,0.0,238,battle-battalions,0.0
Battle Islands,2,366.2,2.0,both,0.0104237243967269,183.1,1.0,239,battle-islands,1.0
Battle Nations,2,0.9,1.0,both,0.0104237243967269,0.9,0.5,240,battle-nations,0.0
Battle for Blood - Epic battles within 30 seconds!,1,0.0,0.0,left_only,0.0052118621983634,,0.0,241,battle-for-blood,0.0
BattleBlock Theater,17,77.6,14.0,both,0.088601657372179,5.542857142857143,0.8235294117647058,242,battleblock-theater,0.0
Battlefield 2,2,54.7,2.0,both,0.0104237243967269,27.35,1.0,243,battlefield-2,1.0
Battlefield Bad Company 2,19,619.5,15.0,both,0.099025381768906,41.3,0.7894736842105263,244,battlefield-bad-company-2,1.0
Battlefield Bad Company 2 Vietnam,8,0.0,0.0,left_only,0.0416948975869078,,0.0,245,battlefield-bad-company-2-vietnam,1.0
Battlepaths,1,1.8,1.0,both,0.0052118621983634,1.8,1.0,246,battlepaths,0.0
Battlestations Midway,2,1.4,1.0,both,0.0104237243967269,1.4,0.5,247,battlestations-midway,1.0
Battlestations Pacific,2,7.4,2.0,both,0.0104237243967269,3.7,1.0,248,battlestations-pacific,1.0
Beast Boxing Turbo,1,0.5,1.0,both,0.0052118621983634,0.5,1.0,249,beast-boxing-turbo,0.0
Beat Hazard,6,23.8,5.0,both,0.0312711731901808,4.76,0.8333333333333334,250,beat-hazard,1.0
Beat Hazard - Shadow Operations Unit,1,0.0,0.0,left_only,0.0052118621983634,,0.0,251,beat-hazard-shadow-operations-unit,0.0
