Games,Cópias vendidas,Hours Played,Número de jogadores,_merge,Popularidade,Temp Med,Jogadores por cópias
Caster,6,2.4000000000000004,2.0,both,0.03127117319018085,1.2000000000000002,0.3333333333333333
Castle Crashers,18,125.2,17.0,both,0.09381351957054256,7.364705882352942,0.9444444444444444
Castle Crashers - Blacksmith Pack,4,0.0,0.0,left_only,0.0208474487934539,,0.0
Castle Crashers - Pink Knight Pack,3,0.0,0.0,left_only,0.015635586595090425,,0.0
Castle Never Judge a Book by its Cover,1,0.8,1.0,both,0.005211862198363475,0.8,1.0
Castle Story,2,3.6,2.0,both,0.01042372439672695,1.8,1.0
CastleMiner Z,1,0.3,1.0,both,0.005211862198363475,0.3,1.0
CastleStorm,3,35.3,3.0,both,0.015635586595090425,11.766666666666666,1.0
CastleStorm - From Outcast to Savior,1,0.0,0.0,left_only,0.005211862198363475,,0.0
CastleStorm - The Warrior Queen,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Castlevania Lords of Shadow - Ultimate Edition,4,12.8,3.0,both,0.0208474487934539,4.266666666666667,0.75
Castlevania Lords of Shadow 2,3,87.2,2.0,both,0.015635586595090425,43.6,0.6666666666666666
Castlevania Lords of Shadow 2 - Dark Dracula Costume,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Castlevania Lords of Shadow 2 - Revelations DLC,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Cat Goes Fishing,2,0.5,1.0,both,0.01042372439672695,0.5,0.5
Cave Story+,8,42.7,4.0,both,0.0416948975869078,10.675,0.5
Champions Online,7,5.9,3.0,both,0.036483035388544326,1.9666666666666668,0.42857142857142855
Chantelise,2,0.5,1.0,both,0.01042372439672695,0.5,0.5
Chaos Domain,4,0.0,0.0,left_only,0.0208474487934539,,0.0
Chaos Heroes Online,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Chaos on Deponia,6,40.2,4.0,both,0.03127117319018085,10.05,0.6666666666666666
Chaser,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Cherry Tree High Comedy Club,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Cherry Tree High I! My! Girls!,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Chessmaster,1,1.8,1.0,both,0.005211862198363475,1.8,1.0
Child of Light,7,20.8,3.0,both,0.036483035388544326,6.933333333333334,0.42857142857142855
Chime,3,7.5,3.0,both,0.015635586595090425,2.5,1.0
Chip,1,2.0,1.0,both,0.005211862198363475,2.0,1.0
Chivalry Medieval Warfare,35,695.3,28.0,both,0.18241517694272164,24.832142857142856,0.8
Chronicles of Mystery The Scorpio Ritual,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Chucks Challenge 3D,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Chuzzle Deluxe,1,6.3,1.0,both,0.005211862198363475,6.3,1.0
Cinders,2,3.1,1.0,both,0.01042372439672695,3.1,0.5
Citadels,1,0.5,1.0,both,0.005211862198363475,0.5,1.0
Cities Skylines,18,356.1,17.0,both,0.09381351957054256,20.947058823529414,0.9444444444444444
Cities XL 2012,1,5.3,1.0,both,0.005211862198363475,5.3,1.0
Cities XL Platinum,6,29.9,3.0,both,0.03127117319018085,9.966666666666667,0.5
Cities XXL,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Cities in Motion,2,0.1,1.0,both,0.01042372439672695,0.1,0.5
Cities in Motion 2,4,0.0,0.0,left_only,0.0208474487934539,,0.0
Citizens of Earth,1,0.0,0.0,left_only,0.005211862198363475,,0.0
City of Heroes,1,0.0,0.0,left_only,0.005211862198363475,,0.0
City of Steam Arkadia,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Civil War II,1,0.2,1.0,both,0.005211862198363475,0.2,1.0
Clans,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Clergy Splode,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Clicker Heroes,37,521.7,20.0,both,0.1928389013394486,26.085,0.5405405405405406
Clickteam Fusion 2.5,1,0.3,1.0,both,0.005211862198363475,0.3,1.0
Clockwork Tales Of Glass and Ink,2,7.4,2.0,both,0.01042372439672695,3.7,1.0
Close Your Eyes,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Closure,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Cloud Chamber,1,22.0,1.0,both,0.005211862198363475,22.0,1.0
Cloudberry Kingdom,1,7.2,1.0,both,0.005211862198363475,7.2,1.0
Cloudbuilt,2,0.2,1.0,both,0.01042372439672695,0.2,0.5
Cobi Treasure Deluxe,1,0.0,0.0,left_only,0.005211862198363475,,0.0
