id,total_hours_played,size,clustering,games_played
54103616,0.33172294417030523,1,0.5714967203339296,21
102825821,0.1515746505799985,1,0.0,79
52907921,0.13277960058904079,1,1.0,34
215160630,0.11238277314180903,1,1.0,30
131940023,0.3739762833595992,1,1.0,52
107377573,0.28533598573901364,1,1.0,47
70970228,0.03332730513860543,1,1.0,5
191747590,0.03512284599684812,1,0.0,6
158476996,0.0543054227917431,1,1.0,15
8542204,0.036685870772728446,1,1.0,35
43360645,0.6497920272818871,1,1.0,104
24011187,0.06169426718681377,1,1.0,22
11403772,0.7763195287674071,1,1.0,314
254814380,0.0035135763556979364,1,0.881578947368421,5
211925330,0.10952799235280442,1,0.9830235672830658,3
115396529,0.04835042757124035,1,1.0,4
65420540,0.08698684992378641,1,0.5810921902524956,19
76420334,0.1202366497016044,1,1.0,46
39082468,0.3108352494380862,1,1.0,32
181608676,0.11416539643992045,1,1.0,20
48239695,0.057470225023897495,1,1.0,6
60217594,0.2645774666081071,1,1.0,31
87071236,0.4108429999741648,1,1.0,43
82020006,0.025253830056578917,1,1.0,17
81585721,0.22397757511561214,1,1.0,67
64350600,0.04167204898338801,1,1.0,13
107886872,0.0038365153589789967,1,1.0,2
42928788,0.07468933267884363,1,1.0,49
86338111,0.20253442529774981,1,1.0,31
74232403,0.008538507246751236,1,1.0,2
92914917,0.5791975611646467,1,1.0,108
32498610,0.08827860593691064,1,1.0,10
85714521,0.22685819102487928,1,1.0,14
49767455,0.42263673237398924,1,0.5810921902524956,23
61676491,0.30396310744826505,1,1.0,89
157469247,0.01860128658898907,1,1.0,13
122803519,0.031118402356162974,1,1.0,12
49350285,0.14979202728188698,1,0.674074074074074,16
31727716,0.30684372335753224,1,1.0,28
117129725,0.0005554550856434238,1,1.0,1
242242432,0.05064975327460149,1,1.0,11
106760673,0.06037667605342705,1,1.0,30
142183287,0.0009817345699744233,1,1.0,2
120725727,0.6843335830728293,1,1.0,6
151397156,0.005929160100240268,1,0.5588235294117647,2
62317148,0.0028289456687420884,1,1.0,1
138570935,0.007634278037564266,1,1.0,9
79411077,0.4547110341798642,1,1.0,22
167106826,0.0022605730229674223,1,0.9633449397139651,3
83420834,0.01525563851499729,1,1.0,8
87832209,0.08617304363551814,1,1.0,30
57798235,0.28856537577182423,1,1.0,15
159777976,0.0011884155320743021,1,1.0,1
57433226,1.0,1,0.5810921902524956,17
93413084,0.26745808251737413,1,1.0,21
174415183,0.0032939778334668147,1,1.0,3
193156880,0.271875888082259,1,0.780695638701681,44
80164199,0.13197871186090374,1,1.0,9
131032344,0.030614617511044523,1,1.0,12
217709850,0.0006587955666933631,1,1.0,4
26430231,0.12462862014622679,1,0.9574773053033923,35
28064589,0.011935825561267988,1,1.0,11
234108053,0.018317100266101744,1,1.0,13
120116659,0.2740977084248328,1,1.0,5
134967717,0.09322603146717652,1,1.0,16
35729292,0.3470819231663524,1,1.0,30
35009482,0.087658563050611,1,1.0,17
194670621,0.11163355465419694,1,1.0,30
201737586,0.0021184798615237555,1,0.5588235294117647,5
211544205,0.0496163484641021,1,1.0,17
80386506,0.0002066809620998786,1,1.0,1
182422786,0.02381998088201101,1,1.0,4
31733654,0.2871573617175188,1,1.0,15
249232725,0.06230139251298214,1,1.0,16
121360145,0.39011031596352086,1,1.0,5
297279953,0.012465445526648928,1,1.0,2
112110682,0.1197586999767484,1,1.0,22
199693353,0.040806572454594785,1,1.0,46
48845802,0.05315575994006253,1,1.0,11
48058475,0.1000852558968662,1,1.0,10
140954425,0.0016663652569302713,1,1.0,1
150128162,0.005412457694990571,1,1.0,1
126340495,0.35791975611646476,1,1.0,17
254906420,0.00014209316144366652,1,1.0,1
99189757,0.14014260986384894,1,1.0,1
226212066,0.017606634458883406,1,1.0,10
236557903,0.0004004443640685148,1,1.0,3
164543231,0.027372309918102678,1,1.0,11
295931968,0.0008396414085307569,1,1.0,1
119410870,0.0005683726457746662,1,1.0,1
124395695,0.0037331748779290573,1,1.0,1
109278470,0.009804428139612992,1,1.0,3
92842632,0.00653628542640866,1,1.0,3
5270060,0.002092644741261271,1,1.0,5
171847029,0.17831400005167028,1,0.9176389842141386,21
148928721,0.35148681117110614,1,1.0,12
287943546,0.00023251608236236342,1,1.0,1
99609673,0.00011625804118118173,1,1.0,1
84668956,0.0002971038830185755,1,1.0,1
145904806,0.00016792828170615135,1,1.0,1
164591420,0.0003229390032810603,1,1.0,1
155997063,0.00037460924380603,1,1.0,1
169358223,0.052561552174025375,1,1.0,1
162543176,0.007130493192445812,1,0.7673637042569081,6
16167221,0.1313586689746041,1,1.0,25
153290864,9.04229209186969e-05,1,1.0,1
150751526,0.11441083008241405,1,1.0,49
83851086,9.04229209186969e-05,1,1.0,1
130280718,0.023329113597023804,1,1.0,15
246892835,0.0003487741235435451,1,1.0,3
136021775,0.08529464954659365,1,1.0,16
211404615,3.8752680393727244e-05,1,1.0,1
124777563,0.00025835120262484825,1,1.0,1
143459727,0.06361898364636888,1,0.9830235672830658,7
57866383,7.750536078745447e-05,1,1.0,2
144347801,0.06811429457204124,1,1.0,12
209193781,0.00012917560131242412,1,1.0,1
83978676,0.0002971038830185755,1,1.0,1
286701848,0.0059679127806339955,1,1.0,5
85614332,0.006704213708114812,1,1.0,1
253006481,0.010191954943550265,1,1.0,1
183103599,0.04156870850233808,1,1.0,3
181321171,0.003332730513860542,1,1.0,2
248255491,0.009352313535019507,1,1.0,2
105796956,0.011354535355362082,1,1.0,1
176033341,0.05611388121011704,1,1.0,2
80119032,0.04146536802128814,1,1.0,3
176743370,0.0004908672849872118,1,1.0,2
175033323,0.0701423515126463,1,0.6862579199505486,4
176750719,2.5835120262484825e-05,1,1.0,1
86686260,0.001911798899423877,1,1.0,4
23883383,0.04027695248921384,1,1.0,5
236950689,0.00012917560131242412,1,1.0,1
148976064,0.00014209316144366652,1,1.0,1
127706455,0.0008267238483995145,1,1.0,1
4064412,0.1801482935903067,1,1.0,4
251928689,0.0010463223706306355,1,1.0,1
234838943,0.004637404087116026,1,1.0,1
81139130,0.03061461751104452,1,1.0,6
262861632,0.11216317461957788,1,1.0,18
149291366,0.0031131319916294213,1,1.0,3
